325;5;5;bresaola;108;0
326;5;5;coniglio;143;0
327;5;5;pollo senza pelle;148;0
328;5;5;tacchino;152;0
329;5;5;manzo / vitello magro;141;0
330;5;5;prosciutto cotto magro;76;0
331;5;5;prosciutto crudo magro;102;0
332;5;5;bistecca;36;0
333;5;5;hamburger manzo;108;0
334;5;5;faraona (petto / cosce);108;0
335;5;5;agnello;107;0
336;5;5;capretto magro;106;0
337;5;5;mandorle;28;35
338;5;5;anacardi;28;34
339;5;5;pistacchi;29;36
340;5;5;semi di zucca;29;35
341;5;5;semi di girasole;29;36
342;5;5;semi di canapa;29;35
343;5;5;avocado;102;125
344;5;5;pinoli;27;34
345;5;5;latte di mandorla senza zuccheri;1250;1538
346;5;5;cracker ai semi;30;36
347;5;5;sesamo;28;35
348;5;5;uovo;127;156
349;5;6;olio oliva;7;9
350;5;6;olio vegetale (arachidi, lino, ecc..);7;9
351;5;6;olive sottolio sgocciolate;25;31
352;5;6;pesto;14;17
353;5;6;mandorle;11;14
354;5;6;noci / pecan;10;12
355;5;6;nocciole;11;13
356;5;6;anacardi;11;14
357;5;6;pistacchi;12;14
358;5;6;semi di zucca;11;14
359;5;6;semi di girasole;12;14
360;5;6;semi di canapa;11;14
361;5;6;pinoli;11;13
362;5;6;cracker ai semi;12;15
363;5;6;sesamo;11;14
364;5;6;arachidi (senza sale);11;14
